ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
859.9,6854258,1720769083,1720769084,3,1,859.8,859.85,1,655314,1742032,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788884.33421
859.9,6854258,1720769083,1720769085,3,1,859.8,859.85,34,655314,1742032,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788885.439184
859.9,6854293,1720769085,1720769085,1,357,859.85,859.9,34,656975,1742039,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788885.533781
859.85,6854293,1720769085,1720769086,1,357,859.85,859.9,1,656975,1742039,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788886.13999
859.85,6854443,1720769086,1720769086,1,209,859.85,859.9,1,655796,1742353,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788886.345853
859.85,6854443,1720769086,1720769087,1,209,859.85,859.9,3,655796,1742353,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788887.130406
859.85,6854464,1720769087,1720769087,7,208,859.85,859.9,17,654817,1742213,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788887.334037
859.85,6854464,1720769087,1720769088,7,208,859.85,859.9,1,654817,1742213,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788888.12958
859.85,6854542,1720769088,1720769088,6,156,859.85,859.9,1,654918,1734715,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788888.333783
859.85,6854542,1720769088,1720769089,6,156,859.85,859.9,7,654918,1734715,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788889.521949
859.85,6854570,1720769089,1720769089,7,135,859.85,859.9,7,654841,1734613,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788889.536743
859.95,6854570,1720769089,1720769090,7,135,859.85,859.9,9,654841,1734613,859.55,855.3,863.0,0,0,856.7,856.7,3.25,0.3794,1720788890.146456
