bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
859.15,859.1,859.05,859.0,858.95,859.35,859.4,859.45,859.5,859.55,91,55,550,682,181,661,1343,2531,1779,2772,1,2,4,10,4,7,8,17,14,18,1720789301.367809
859.15,859.1,859.05,859.0,858.95,859.35,859.4,859.45,859.5,859.55,67,55,550,682,181,660,1343,2531,1779,2772,1,2,4,10,4,7,8,17,14,18,1720789302.15176
859.15,859.1,859.05,859.0,858.95,859.25,859.3,859.35,859.4,859.45,92,55,550,682,164,45,451,624,614,2018,2,2,4,10,4,2,4,7,8,19,1720789303.365172
859.15,859.1,859.05,859.0,858.95,859.2,859.3,859.35,859.4,859.45,50,55,550,746,164,105,231,636,393,1545,2,2,4,12,4,1,2,8,7,15,1720789304.5605
859.15,859.1,859.05,859.0,858.95,859.2,859.3,859.35,859.4,859.45,50,55,550,746,164,100,231,636,393,1545,2,2,4,12,4,1,2,8,7,15,1720789304.764724
859.2,859.15,859.1,859.05,859.0,859.35,859.4,859.45,859.5,859.55,5,45,55,550,796,502,265,1420,1554,2443,1,2,2,4,13,4,3,14,13,16,1720789306.362696
859.05,859.0,858.95,858.9,858.85,859.35,859.4,859.45,859.5,859.55,452,853,511,642,1107,117,265,955,1365,1606,4,15,7,12,9,2,3,8,10,14,1720789307.369226
859.05,859.0,858.95,858.9,858.85,859.35,859.4,859.45,859.5,859.55,351,893,415,675,1183,183,289,962,1395,1606,4,15,8,12,10,1,4,10,12,14,1720789308.56533
859.2,859.15,859.1,859.05,859.0,859.45,859.5,859.55,859.6,859.65,187,271,566,910,1215,233,290,774,807,2102,3,4,9,10,20,2,3,7,9,8,1720789309.571535
859.2,859.15,859.1,859.05,859.0,859.45,859.5,859.55,859.6,859.65,97,143,635,922,1156,133,237,775,772,1392,2,2,11,11,18,2,2,8,8,10,1720789310.578647
859.45,859.35,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,1,3,58,302,807,212,354,839,652,1432,1,1,1,6,8,3,3,5,9,9,1720789311.567532
859.35,859.25,859.2,859.15,859.1,859.55,859.6,859.65,859.7,859.75,3,58,302,807,787,211,354,851,652,1508,1,1,6,8,9,3,3,6,9,10,1720789311.919592
859.45,859.35,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,33,2,113,302,809,36,354,742,663,1438,1,1,2,6,8,2,3,5,9,9,1720789312.776575
859.45,859.35,859.3,859.25,859.2,859.65,859.7,859.75,859.8,859.85,1,1,6,682,714,210,415,1090,1228,3531,1,1,1,6,8,3,5,9,11,14,1720789313.863659
